timestamp,turbine_id,wind_speed,wind_direction,power_output
2022-03-01 00:00:00,42,11.2,152,
2022-03-01 01:00:00,42,14.7,144,3.05
2022-03-01 02:00:00,42,13.4,224,1.76
2022-03-01 03:00:00,42,12.6,308,2.55
2022-03-01 04:00:00,42,9.9,103,1.6
2022-03-01 05:00:00,42,9.9,103,1.74
2022-03-01 06:00:00,42,9.3,38,2.69
2022-03-01 07:00:00,42,14.2,197,1.9
2022-03-01 08:00:00,42,12.6,133,3.2
2022-03-01 09:00:00,42,13.2,66,3.57
2022-03-01 10:00:00,42,9.1,178,3.9
2022-03-01 11:00:00,42,14.8,41,2.1
2022-03-01 12:00:00,42,14.0,14,2.0
2022-03-01 13:00:00,42,10.3,110,1.81
2022-03-01 14:00:00,42,10.1,156,3.41
2022-03-01 15:00:00,42,10.1,288,3.62
2022-03-01 16:00:00,42,10.8,230,1.59
2022-03-01 17:00:00,42,12.1,156,4.31
2022-03-01 18:00:00,42,11.6,37,1.66
2022-03-01 19:00:00,42,10.7,96,3.12
2022-03-01 20:00:00,42,12.7,288,3.63
2022-03-01 21:00:00,42,9.8,253,4.11
2022-03-01 22:00:00,42,10.8,195,3.64
2022-03-01 23:00:00,42,11.2,85,3.91
2022-03-02 00:00:00,42,11.7,321,2.52
2022-03-02 01:00:00,42,13.7,9,3.94
2022-03-02 02:00:00,42,10.2,4,1.74
2022-03-02 03:00:00,42,12.1,122,4.18
2022-03-02 04:00:00,42,12.6,329,3.14
2022-03-02 05:00:00,42,9.3,352,3.95
2022-03-02 06:00:00,42,12.6,117,2.86
2022-03-02 07:00:00,42,10.0,293,3.43
2022-03-02 08:00:00,42,9.4,158,3.08
2022-03-02 09:00:00,42,14.7,302,3.69
2022-03-02 10:00:00,42,14.8,227,1.74
2022-03-02 11:00:00,42,13.9,215,1.68
2022-03-02 12:00:00,42,10.8,183,2.24
2022-03-02 13:00:00,42,9.6,14,1.98
2022-03-02 14:00:00,42,13.1,156,4.12
2022-03-02 15:00:00,42,11.6,135,2.16
2022-03-02 16:00:00,42,9.7,260,4.43
2022-03-02 17:00:00,42,12.0,156,2.51
2022-03-02 18:00:00,42,9.2,46,2.05
2022-03-02 19:00:00,42,14.5,323,3.87
2022-03-02 20:00:00,42,10.6,331,3.48
2022-03-02 21:00:00,42,13.0,172,2.99
2022-03-02 22:00:00,42,10.9,129,3.17
2022-03-02 23:00:00,42,12.1,94,3.66
2022-03-03 00:00:00,42,12.3,114,2.19
2022-03-03 01:00:00,42,10.1,242,4.49
2022-03-03 02:00:00,42,14.8,291,-1.4
2022-03-03 03:00:00,42,13.7,281,-2.79
2022-03-03 04:00:00,42,14.6,298,2.1
2022-03-03 05:00:00,42,14.4,282,3.54
2022-03-03 06:00:00,42,12.6,68,1.72
2022-03-03 07:00:00,42,14.5,147,1.59
2022-03-03 08:00:00,42,9.5,10,2.27
2022-03-03 09:00:00,42,10.2,253,2.89
2022-03-03 10:00:00,42,9.3,329,4.1
2022-03-03 11:00:00,42,11.0,359,3.68
2022-03-03 12:00:00,42,11.3,37,3.73
2022-03-03 13:00:00,42,10.6,133,2.78
2022-03-03 14:00:00,42,14.0,199,2.54
2022-03-03 15:00:00,42,11.1,22,2.61
2022-03-03 16:00:00,42,10.7,302,4.46
